scope,incident_index,incident_count,ground_truth_x_m,ground_truth_y_m,vanilla_prediction_count,vanilla_avg_distance_m,vanilla_variance_distance_m2,vanilla_stddev_distance_m,saliency_prediction_count,saliency_avg_distance_m,saliency_variance_distance_m2,saliency_stddev_distance_m
incident,1,1,911.126,1028.516,3,620.721,12022.035,109.645,3,435.158,277389.408,526.678
overall,,1,,,3,620.721,12022.035,109.645,3,435.158,277389.408,526.678
