Game number,Game FPC,Game DRP,Dominant player,Game Time [Msec],Time To first drag [Msec],Reference point,Data point,X,Y,Point value,Connection
1,2.7852983,1.0,1,3289,1225
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,250,1,r2
 , , , , , , ,d1,94,610,3,r1


2,1.9148129,1.0,1,7544,1688
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,610,2,r1
 , , , , , , ,d1,94,106,2,r1
 , , , , , , ,d2,403,106,4,r2


3,7.0,1.0,2,2792,1272
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1333,394,4,r1


4,3.243896,0.73333335,2,7120,1537
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1333,106,1,r1
 , , , , , , ,d1,1333,322,1,r2
 , , , , , , ,d2,1019,538,3,r1
 , , , , , , ,d3,1333,466,4,r1
 , , , , , , ,d4,865,322,2,r2
 , , , , , , ,d5,94,538,4,r2


5,6.5413814,1.0,2,3031,936
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1333,394,2,r2
 , , , , , , ,d1,1179,466,3,r1


6,3.4086783,0.75,2,10240,1192
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1333,250,1,r2
 , , , , , , ,d1,403,610,4,r2
 , , , , , , ,d2,1019,322,4,r1
 , , , , , , ,d3,1179,466,3,r1
 , , , , , , ,d4,1333,250,2,r2
 , , , , , , ,d5,1019,538,2,r1


7,2.0985892,0.6363636,2,19933,1733
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1333,682,1,r2
 , , , , , , ,d1,1179,682,1,r2
 , , , , , , ,d2,248,682,4,r1
 , , , , , , ,d3,1019,466,2,r2
 , , , , , , ,d4,1019,610,1,r1
 , , , , , , ,d5,865,250,2,r2


8,1.70294,0.6666667,1,14607,1287
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,682,3,r1
 , , , , , , ,d1,557,466,4,r2
 , , , , , , ,d2,557,394,2,r1


9,3.9057045,0.71428573,1,6121,1592
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,466,1,r2
 , , , , , , ,d1,1179,610,2,r2
 , , , , , , ,d2,557,178,3,r1
 , , , , , , ,d3,94,394,1,r1


10,3.5674086,0.7777778,1,8432,895
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,322,3,r2
 , , , , , , ,d1,94,250,1,r1
 , , , , , , ,d2,403,250,3,r1
 , , , , , , ,d3,1333,466,2,r2


