Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,5633,2273,85.0,71.7
2,6711,1175,94.3,36.7
3,23657,1208,71.7,90.7
4,9616,4601,73.8,42.2
5,6896,1121,89.5,60.5
6,34159,2008,89.5,74.5

20.525225,Player SVO angle [Deg] :
