Game number,Game FPC,Game DRP,Dominant player,Game Time [Msec],Time To first drag [Msec],Reference point,Data point,X,Y,Point value,Connection
1,2.7796824,0.5,0,20448,3592
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1333,322,4,r2
 , , , , , , ,d1,865,610,1,r2
 , , , , , , ,d2,94,466,2,r1
 , , , , , , ,d3,248,682,4,r1
 , , , , , , ,d4,1179,538,2,r2
 , , , , , , ,d5,403,106,3,r1
 , , , , , , ,d6,1019,106,2,r2


2,2.1980603,1.0,1,11312,4977
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,322,3,r1
 , , , , , , ,d1,248,106,1,r1
 , , , , , , ,d2,248,682,3,r2
 , , , , , , ,d3,557,538,2,r2


3,2.432441,0.54545456,1,38136,8769
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,682,1,r2
 , , , , , , ,d1,1179,466,3,r2
 , , , , , , ,d2,865,682,3,r1
 , , , , , , ,d3,865,538,3,r2
 , , , , , , ,d4,557,610,4,r1
 , , , , , , ,d5,403,682,4,r2
 , , , , , , ,d6,403,466,4,r1


4,2.717031,0.5263158,1,23952,3056
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,250,4,r2
 , , , , , , ,d1,248,250,4,r1
 , , , , , , ,d2,403,538,2,r2
 , , , , , , ,d3,557,106,4,r1
 , , , , , , ,d4,1179,466,1,r1
 , , , , , , ,d5,1179,106,4,r2


5,1.5529858,1.0,2,9632,3336
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,682,3,r1


6,2.661043,0.52380955,1,20448,7576
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,538,4,r2
 , , , , , , ,d1,403,394,1,r1
 , , , , , , ,d2,94,250,4,r1
 , , , , , , ,d3,248,178,2,r1
 , , , , , , ,d4,1179,322,3,r2
 , , , , , , ,d5,1179,610,3,r2
 , , , , , , ,d6,94,610,4,r1


7,1.7272394,0.6363636,2,16776,3272
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,394,4,r1
 , , , , , , ,d1,1333,682,2,r2
 , , , , , , ,d2,865,538,2,r1
 , , , , , , ,d3,1019,178,2,r2
 , , , , , , ,d4,1333,250,1,r2


8,2.9009666,0.5,0,29724,7957
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,538,4,r1
 , , , , , , ,d1,557,322,1,r1
 , , , , , , ,d2,1019,106,4,r2
 , , , , , , ,d3,1333,322,2,r2
 , , , , , , ,d4,1333,538,2,r2
 , , , , , , ,d5,248,610,4,r1
 , , , , , , ,d6,1179,538,1,r2


9,2.124142,0.625,1,8920,2777
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,610,3,r2
 , , , , , , ,d1,94,538,2,r1
 , , , , , , ,d2,403,178,2,r1
 , , , , , , ,d3,403,682,1,r2


10,3.7041595,0.6666667,1,10200,3937
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1333,178,2,r2
 , , , , , , ,d1,94,466,4,r1


