Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,13400,1552,85.0,85.0
2,4480,2321,100.0,50.0
3,4784,2297,85.0,85.0
4,6150,2087,64.7,64.3
5,7112,1697,74.5,75.5
6,4720,3344,85.0,85.0

36.709057,Player SVO angle [Deg] :
