Game number,Game FPC,Game DRP,Dominant player,Game Time [Msec],Time To first drag [Msec],Reference point,Data point,X,Y,Point value,Connection
1,3.6890206,0.5625,2,25463,10704
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,682,1,r1
 , , , , , , ,d1,94,466,4,r1
 , , , , , , ,d2,1019,394,1,r2
 , , , , , , ,d3,1333,394,4,r2
 , , , , , , ,d4,94,394,2,r1
 , , , , , , ,d5,865,250,4,r2


2,2.9044483,0.6,1,26144,7792
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,466,4,r1
 , , , , , , ,d1,1333,466,4,r2
 , , , , , , ,d2,403,538,4,r1
 , , , , , , ,d3,94,106,4,r2
 , , , , , , ,d4,1019,682,4,r2


3,2.408319,1.0,1,17760,6616
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,610,3,r2


4,1.8027756,1.0,1,34808,14120
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,682,1,r1


5,2.7435532,0.8888889,1,17790,9125
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,322,4,r2
 , , , , , , ,d1,865,178,1,r2
 , , , , , , ,d2,94,466,4,r1


6,2.7857182,0.5294118,1,53416,9752
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,394,1,r2
 , , , , , , ,d1,865,322,2,r1
 , , , , , , ,d2,865,322,2,r1
 , , , , , , ,d3,248,106,4,r1
 , , , , , , ,d4,1179,322,3,r2
 , , , , , , ,d5,557,466,4,r2
 , , , , , , ,d6,248,466,1,r1


7,3.6055512,1.0,2,9560,4336
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,322,3,r2


8,3.7870817,0.55,2,17185,4306
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,178,1,r2
 , , , , , , ,d1,94,394,4,r1
 , , , , , , ,d2,1333,250,4,r2
 , , , , , , ,d3,1179,178,4,r2
 , , , , , , ,d4,1333,394,3,r2
 , , , , , , ,d5,557,466,4,r1


9,2.7378137,0.5263158,2,33848,15128
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,250,1,r2
 , , , , , , ,d1,94,394,4,r1
 , , , , , , ,d2,557,178,3,r1
 , , , , , , ,d3,94,610,2,r1
 , , , , , , ,d4,1333,610,4,r2
 , , , , , , ,d5,865,394,3,r2
 , , , , , , ,d6,1019,682,2,r2


10,2.125031,0.64705884,1,75712,37608
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,106,2,r2
 , , , , , , ,d1,557,394,1,r2
 , , , , , , ,d2,248,178,2,r2
 , , , , , , ,d3,1179,178,2,r2
 , , , , , , ,d4,1019,610,2,r2
 , , , , , , ,d5,248,250,4,r1
 , , , , , , ,d6,557,322,4,r2


