Game number,Game FPC,Game DRP,Dominant player,Game Time [Msec],Time To first drag [Msec],Reference point,Data point,X,Y,Point value,Connection
1,1.9923122,0.7777778,1,17408,6185
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,250,4,r1
 , , , , , , ,d1,248,106,3,r1
 , , , , , , ,d2,557,466,3,r2
 , , , , , , ,d3,94,682,4,r2
 , , , , , , ,d4,865,178,2,r2
 , , , , , , ,d5,1179,106,2,r2


2,1.6593446,0.7777778,2,5168,1480
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,250,2,r1
 , , , , , , ,d1,1019,682,3,r2
 , , , , , , ,d2,865,466,4,r2


3,2.937085,0.54545456,1,11800,4497
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,682,4,r1
 , , , , , , ,d1,865,106,4,r2
 , , , , , , ,d2,94,394,1,r1
 , , , , , , ,d3,94,466,4,r1
 , , , , , , ,d4,1179,106,3,r2
 , , , , , , ,d5,865,250,3,r2
 , , , , , , ,d6,94,682,3,r1


4,2.5316696,0.5,0,6592,2601
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,250,4,r2
 , , , , , , ,d1,403,466,2,r1
 , , , , , , ,d2,94,178,2,r1


5,1.610148,0.6,2,6135,1887
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1333,106,3,r2
 , , , , , , ,d1,557,106,2,r1


6,4.1324553,1.0,2,10280,1480
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,682,1,r2
 , , , , , , ,d1,1333,394,3,r2


7,2.0692043,0.85714287,2,12704,4408
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,610,2,r2
 , , , , , , ,d1,94,610,1,r2
 , , , , , , ,d2,1333,106,4,r2


8,2.793048,0.625,1,11744,1368
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,178,4,r1
 , , , , , , ,d1,1179,322,4,r2
 , , , , , , ,d2,94,610,3,r2
 , , , , , , ,d3,1179,178,1,r2
 , , , , , , ,d4,1179,610,1,r2
 , , , , , , ,d5,557,178,3,r1


9,2.9015982,0.5714286,1,14064,3776
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,538,4,r2
 , , , , , , ,d1,1333,538,3,r2
 , , , , , , ,d2,94,394,4,r1
 , , , , , , ,d3,1019,394,2,r1
 , , , , , , ,d4,1019,610,1,r2


10,2.1407657,0.5555556,2,28090,1960
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,322,2,r2
 , , , , , , ,d1,557,682,1,r1
 , , , , , , ,d2,865,250,2,r2
 , , , , , , ,d3,403,322,3,r1
 , , , , , , ,d4,1019,538,1,r2


