Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,8929,1952,85.0,15.0
2,12824,3663,88.0,22.0
3,81551,20254,60.5,95.5
4,25879,2744,78.0,32.0
5,8159,2575,75.0,75.0
6,6785,3072,97.0,57.0

-1.0927,Player SVO angle [Deg] :
