Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,3393,1321,85.0,73.8
2,6984,1552,100.0,50.0
3,82112,20047,67.5,92.5
4,2872,968,65.75,61.75
5,3712,2088,78.0,72.0
6,11519,3808,91.0,71.0

32.881123,Player SVO angle [Deg] :
