Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,8424,737,85.0,85.0
2,135527,3255,100.0,50.0
3,13376,2344,80.8,86.8
4,44936,2817,67.5,57.5
5,15168,1785,76.0,74.0
6,15312,1768,92.5,67.5

30.905266,Player SVO angle [Deg] :
