Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,7334,1366,85.0,67.5
2,16268,1352,95.05,38.45
3,10928,1541,70.65,91.15
4,2515491,2888,64.0,66.0
5,12881,2179,87.5,62.5
6,13564,1095,88.0,78.0

28.576681,Player SVO angle [Deg] :
