Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,3800,1433,85.0,15.0
2,6312,4681,100.0,50.0
3,3312,1929,85.0,85.0
4,5967,1807,85.0,15.0
5,11103,4937,100.0,50.0
6,3041,1297,100.0,50.0

-7.8152924,Player SVO angle [Deg] :
