Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,7298,1440,85.0,85.0
2,163223,1423,100.0,50.0
3,21527,2393,85.0,85.0
4,19038,2318,65.05,63.45
5,74991,3272,85.0,65.0
6,11257,1977,85.0,85.0

33.056763,Player SVO angle [Deg] :
