Game number,Game FPC,Game DRP,Dominant player,Game Time [Msec],Time To first drag [Msec],Reference point,Data point,X,Y,Point value,Connection
1,3.2286603,0.53846157,1,11688,2040
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,466,4,r2
 , , , , , , ,d1,94,322,2,r1
 , , , , , , ,d2,1333,250,1,r2
 , , , , , , ,d3,248,106,1,r1
 , , , , , , ,d4,865,610,3,r1
 , , , , , , ,d5,865,466,2,r2


2,1.264911,1.0,2,29189,4277
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,106,4,r2


3,1.5257576,0.625,1,10816,2184
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,466,3,r2
 , , , , , , ,d1,865,322,3,r2
 , , , , , , ,d2,403,178,3,r1
 , , , , , , ,d3,403,394,3,r1
 , , , , , , ,d4,248,178,1,r1
 , , , , , , ,d5,557,178,3,r2


4,3.5059867,0.6923077,1,8559,1672
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,322,1,r1
 , , , , , , ,d1,1019,466,4,r2
 , , , , , , ,d2,248,178,1,r1
 , , , , , , ,d3,248,322,4,r1
 , , , , , , ,d4,557,394,3,r2


5,2.966876,0.5833333,1,15569,1513
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,610,1,r1
 , , , , , , ,d1,865,394,1,r2
 , , , , , , ,d2,94,610,4,r1
 , , , , , , ,d3,557,466,1,r2
 , , , , , , ,d4,1179,250,4,r2
 , , , , , , ,d5,94,394,1,r1


6,3.1130967,0.6363636,2,19736,7392
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,538,3,r2
 , , , , , , ,d1,1019,682,3,r1
 , , , , , , ,d2,1019,250,4,r1
 , , , , , , ,d3,248,322,1,r2


7,1.7198827,0.7,1,16640,5320
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,466,2,r2
 , , , , , , ,d1,1019,610,1,r1
 , , , , , , ,d2,865,682,2,r2
 , , , , , , ,d3,248,106,1,r1
 , , , , , , ,d4,557,466,4,r2


8,3.4656315,0.875,1,9512,3368
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,106,3,r1
 , , , , , , ,d1,557,466,4,r2
 , , , , , , ,d2,1333,394,1,r1


9,2.3379748,1.0,1,14375,5392
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,538,2,r2
 , , , , , , ,d1,248,106,4,r2
 , , , , , , ,d2,94,106,4,r1


10,0.7764929,0.6666667,1,13448,5352
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,394,4,r2
 , , , , , , ,d1,1019,106,2,r1


