Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,13143,6351,85.0,50.0
2,22471,16952,92.5,32.5
3,13736,4375,67.5,92.5
4,20537,15408,67.5,57.5
5,67862,22606,75.0,75.0
6,8777,3977,92.5,67.5

22.619864,Player SVO angle [Deg] :
