Game number,Game FPC,Game DRP,Dominant player,Game Time [Msec],Time To first drag [Msec],Reference point,Data point,X,Y,Point value,Connection
1,3.2889528,0.6666667,2,20407,11352
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1179,322,1,r2
 , , , , , , ,d1,248,250,2,r1
 , , , , , , ,d2,1333,106,1,r2
 , , , , , , ,d3,1333,106,2,r2


2,2.6422238,0.8,2,31711,10422
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,178,1,r2
 , , , , , , ,d1,1019,394,3,r2
 , , , , , , ,d2,1179,322,1,r2


3,2.397796,0.6666667,2,17585,2097
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1333,106,1,r2
 , , , , , , ,d1,865,682,1,r2
 , , , , , , ,d2,94,178,3,r2
 , , , , , , ,d3,94,322,1,r1
 , , , , , , ,d4,1179,682,4,r2
 , , , , , , ,d5,1333,682,2,r2


4,2.0211718,1.0,2,11585,7256
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1333,538,1,r2
 , , , , , , ,d1,1019,178,3,r2
 , , , , , , ,d2,865,322,1,r2
 , , , , , , ,d3,865,250,2,r2
 , , , , , , ,d4,865,250,4,r2


5,2.6481566,0.6875,2,17136,4200
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,466,2,r2
 , , , , , , ,d1,1333,466,4,r2
 , , , , , , ,d2,1179,610,4,r2
 , , , , , , ,d3,248,106,4,r1
 , , , , , , ,d4,1179,250,1,r2
 , , , , , , ,d5,557,322,1,r1


6,2.2787368,0.72727275,2,6975,2456
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,466,4,r2
 , , , , , , ,d1,865,610,4,r2
 , , , , , , ,d2,557,322,3,r2


7,1.5069584,0.6666667,1,7616,1784
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,538,4,r2
 , , , , , , ,d1,865,610,1,r2
 , , , , , , ,d2,1019,106,1,r2


8,2.7267463,0.7368421,2,40064,3273
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,106,4,r2
 , , , , , , ,d1,94,250,2,r2
 , , , , , , ,d2,248,466,3,r2
 , , , , , , ,d3,1019,610,3,r2
 , , , , , , ,d4,865,178,3,r2
 , , , , , , ,d5,1179,106,3,r2
 , , , , , , ,d6,1179,250,1,r2


9,3.5033174,0.5555556,1,15719,5751
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,250,1,r2
 , , , , , , ,d1,557,682,4,r2
 , , , , , , ,d2,1179,322,4,r2


10,4.011172,0.7777778,2,11073,1985
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,682,1,r2
 , , , , , , ,d1,1333,538,2,r2
 , , , , , , ,d2,94,394,4,r2
 , , , , , , ,d3,1333,322,3,r2
 , , , , , , ,d4,1019,322,3,r2
 , , , , , , ,d5,865,538,1,r2
 , , , , , , ,d6,1179,466,4,r2


