Game number,Game FPC,Game DRP,Dominant player,Game Time [Msec],Time To first drag [Msec],Reference point,Data point,X,Y,Point value,Connection
1,1.8009894,1.0,1,7512,2320
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,538,3,r2
 , , , , , , ,d1,557,394,4,r2
 , , , , , , ,d2,248,178,4,r1
 , , , , , , ,d3,557,178,2,r2


2,2.1156666,0.6923077,1,8808,2544
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,610,2,r2
 , , , , , , ,d1,403,394,3,r1
 , , , , , , ,d2,865,106,1,r2
 , , , , , , ,d3,865,466,3,r2
 , , , , , , ,d4,248,466,4,r1


3,3.012948,0.75,2,5280,1184
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1179,106,2,r2
 , , , , , , ,d1,94,466,2,r1
 , , , , , , ,d2,1179,610,4,r2


4,2.236068,1.0,2,1504,936
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1179,610,4,r2


5,2.7086344,0.5769231,1,8792,1720
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,610,3,r1
 , , , , , , ,d1,1019,322,4,r2
 , , , , , , ,d2,1179,106,4,r2
 , , , , , , ,d3,1179,178,3,r2
 , , , , , , ,d4,94,322,4,r1
 , , , , , , ,d5,403,610,4,r1
 , , , , , , ,d6,248,610,4,r1


6,3.2990477,0.5555556,2,13637,2597
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1179,322,3,r2
 , , , , , , ,d1,1019,322,1,r2
 , , , , , , ,d2,94,322,1,r1
 , , , , , , ,d3,557,394,2,r1
 , , , , , , ,d4,1019,682,1,r2
 , , , , , , ,d5,403,682,1,r2


7,1.8982786,0.85714287,1,7720,1256
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,250,1,r1
 , , , , , , ,d1,557,106,2,r2
 , , , , , , ,d2,865,466,1,r2
 , , , , , , ,d3,557,682,1,r1
 , , , , , , ,d4,94,106,2,r1


8,2.408319,1.0,1,2632,1296
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,610,4,r1


9,2.0013812,1.0,1,10896,2320
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,682,4,r1
 , , , , , , ,d1,403,178,4,r1
 , , , , , , ,d2,94,682,4,r1
 , , , , , , ,d3,94,178,3,r1
 , , , , , , ,d4,403,610,2,r2


10,1.264911,1.0,2,2888,1257
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,106,1,r2


