Game number,Game FPC,Game DRP,Dominant player,Game Time [Msec],Time To first drag [Msec],Reference point,Data point,X,Y,Point value,Connection
1,1.711375,0.71428573,2,5480,1208
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,250,3,r1
 , , , , , , ,d1,1019,106,2,r2
 , , , , , , ,d2,557,394,2,r1


2,1.9633746,0.5882353,2,11631,1496
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,538,2,r2
 , , , , , , ,d1,557,106,2,r1
 , , , , , , ,d2,557,322,4,r1
 , , , , , , ,d3,1179,250,2,r2
 , , , , , , ,d4,403,610,1,r1
 , , , , , , ,d5,865,682,2,r1
 , , , , , , ,d6,1333,682,4,r2


3,1.264911,1.0,1,6273,1321
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,106,3,r1
 , , , , , , ,d1,557,682,2,r1


4,2.046175,0.85714287,1,10504,2280
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,610,1,r1
 , , , , , , ,d1,403,106,3,r1
 , , , , , , ,d2,94,250,3,r1
 , , , , , , ,d3,865,106,2,r2
 , , , , , , ,d4,94,178,1,r1
 , , , , , , ,d5,94,178,4,r1


5,5.5413814,1.0,1,4960,1168
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,466,2,r1
 , , , , , , ,d1,248,466,4,r1


6,3.8319507,1.0,1,4072,1272
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,538,2,r1
 , , , , , , ,d1,248,322,4,r1


7,2.8580751,0.9,2,15248,1632
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,394,2,r1
 , , , , , , ,d1,1179,322,3,r2
 , , , , , , ,d2,1333,610,3,r1
 , , , , , , ,d3,403,610,1,r1
 , , , , , , ,d4,1333,106,1,r1


8,1.5811388,1.0,2,88607,84232
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,250,3,r1


9,2.4818056,0.8095238,2,202637,1176
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1179,610,4,r2
 , , , , , , ,d1,865,250,4,r1
 , , , , , , ,d2,1333,322,1,r2
 , , , , , , ,d3,1019,466,4,r2
 , , , , , , ,d4,1019,682,3,r1
 , , , , , , ,d5,403,178,4,r1
 , , , , , , ,d6,1019,106,1,r1


10,2.0645392,0.8095238,2,20752,3232
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,538,3,r2
 , , , , , , ,d1,1333,178,4,r2
 , , , , , , ,d2,403,250,4,r1
 , , , , , , ,d3,865,538,4,r1
 , , , , , , ,d4,865,394,4,r1
 , , , , , , ,d5,865,250,2,r1


