Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,8352,2897,85.0,64.0
2,132630,5072,97.0,43.0
3,9280,3409,85.0,85.0
4,9424,4400,81.5,23.5
5,32680,10457,95.0,55.0
6,28816,2720,92.5,67.5

9.1470785,Player SVO angle [Deg] :
