Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,7905,3008,85.0,85.0
2,11743,4575,100.0,50.0
3,7935,2569,85.0,85.0
4,11039,3655,64.7,64.3
5,8873,2872,75.0,75.0
6,12272,6008,85.0,85.0

36.54362,Player SVO angle [Deg] :
