Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,7432,2696,85.0,15.0
2,16968,2105,85.0,15.0
3,46879,24391,60.15,95.65
4,26904,2728,65.05,63.45
5,13856,3449,75.0,75.0
6,7480,3032,85.0,85.0

17.5556,Player SVO angle [Deg] :
