Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,4673,2568,85.0,33.899998
2,15057,2136,95.65,39.85
3,37048,14800,85.0,85.0
4,3719,2015,73.45,43.05
5,7551,2416,50.0,100.0
6,3280,1592,93.55,65.05

20.102654,Player SVO angle [Deg] :
