Game number,Game FPC,Game DRP,Dominant player,Game Time [Msec],Time To first drag [Msec],Reference point,Data point,X,Y,Point value,Connection
1,3.0621645,1.0,1,15872,3728
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,322,4,r1
 , , , , , , ,d1,94,250,3,r1
 , , , , , , ,d2,94,106,2,r2
 , , , , , , ,d3,94,538,2,r2
 , , , , , , ,d4,403,610,2,r2


2,2.2201824,1.0,2,6168,2105
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,250,4,r2
 , , , , , , ,d1,1019,250,1,r2
 , , , , , , ,d2,1019,610,4,r1


3,3.0494773,0.5714286,2,26169,9784
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,682,3,r1
 , , , , , , ,d1,1179,466,3,r2
 , , , , , , ,d2,1333,466,1,r2
 , , , , , , ,d3,1179,178,1,r2
 , , , , , , ,d4,557,250,4,r1
 , , , , , , ,d5,557,466,2,r2


4,2.6834698,0.85714287,1,13137,3088
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,466,2,r2
 , , , , , , ,d1,94,466,1,r2
 , , , , , , ,d2,557,466,4,r1
 , , , , , , ,d3,557,178,4,r2
 , , , , , , ,d4,557,538,3,r1


5,3.3217926,0.72727275,1,31967,15071
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,250,1,r1
 , , , , , , ,d1,403,466,1,r1
 , , , , , , ,d2,403,250,2,r2
 , , , , , , ,d3,403,250,2,r2
 , , , , , , ,d4,1333,250,2,r2
 , , , , , , ,d5,1179,322,1,r2
 , , , , , , ,d6,248,610,2,r1


6,2.6908007,0.5714286,2,9535,3344
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1333,610,4,r1
 , , , , , , ,d1,94,178,2,r2
 , , , , , , ,d2,94,538,1,r2


7,2.408319,1.0,2,6456,5128
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,538,3,r1


8,2.682492,0.65,1,24713,9880
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,250,4,r2
 , , , , , , ,d1,557,322,3,r2
 , , , , , , ,d2,94,178,3,r1
 , , , , , , ,d3,248,106,3,r1
 , , , , , , ,d4,1179,682,3,r1
 , , , , , , ,d5,1179,322,1,r1
 , , , , , , ,d6,1333,538,3,r2


9,2.8605547,0.84615386,1,70821,3117
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,538,4,r1
 , , , , , , ,d1,248,538,3,r1
 , , , , , , ,d2,1179,250,2,r2
 , , , , , , ,d3,94,106,4,r2


10,2.236068,1.0,1,5393,3376
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,610,4,r2


