Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,6080,2696,85.0,85.0
2,21176,929,85.0,15.0
3,8608,2736,74.5,89.5
4,52816,4928,64.7,64.3
5,12392,1033,87.5,62.5
6,30848,1344,85.3,84.3

28.931494,Player SVO angle [Deg] :
