Game number,Game FPC,Game DRP,Dominant player,Game Time [Msec],Time To first drag [Msec],Reference point,Data point,X,Y,Point value,Connection
1,2.948812,0.5294118,2,6792,1400
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1179,178,3,r2
 , , , , , , ,d1,1333,178,4,r2
 , , , , , , ,d2,1333,466,2,r2
 , , , , , , ,d3,94,538,4,r1
 , , , , , , ,d4,557,322,4,r1


2,7.0,1.0,1,3584,1672
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,394,2,r1


3,1.9350712,1.0,1,5320,1288
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,682,3,r1
 , , , , , , ,d1,94,610,3,r1
 , , , , , , ,d2,403,610,3,r1


4,2.556525,0.5714286,2,14117,3829
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,178,2,r2
 , , , , , , ,d1,1333,538,1,r2
 , , , , , , ,d2,1333,250,1,r2
 , , , , , , ,d3,557,106,1,r1
 , , , , , , ,d4,248,538,2,r1


5,3.120786,0.5833333,1,11489,1241
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,394,4,r1
 , , , , , , ,d1,865,538,1,r2
 , , , , , , ,d2,1179,322,3,r2
 , , , , , , ,d3,94,682,1,r1
 , , , , , , ,d4,557,682,1,r1
 , , , , , , ,d5,1019,250,1,r2
 , , , , , , ,d6,403,682,1,r1


6,1.8390464,1.0,2,5792,1216
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,250,3,r2
 , , , , , , ,d1,865,682,1,r2
 , , , , , , ,d2,1019,610,4,r2


7,1.6789789,0.5,0,10744,1288
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,538,4,r1
 , , , , , , ,d1,1019,394,1,r2
 , , , , , , ,d2,557,682,1,r1
 , , , , , , ,d3,865,394,4,r2
 , , , , , , ,d4,1179,682,2,r2
 , , , , , , ,d5,403,610,2,r1


8,3.3494442,0.6666667,2,7600,1936
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,610,1,r1
 , , , , , , ,d1,403,538,1,r1
 , , , , , , ,d2,865,250,2,r2
 , , , , , , ,d3,1333,394,2,r2


9,4.488556,0.7058824,1,13360,1320
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,394,4,r1
 , , , , , , ,d1,557,538,1,r1
 , , , , , , ,d2,94,394,4,r1
 , , , , , , ,d3,557,106,2,r1
 , , , , , , ,d4,248,322,1,r1
 , , , , , , ,d5,1179,466,1,r2
 , , , , , , ,d6,1333,178,4,r2


10,3.0815296,0.53333336,2,11103,2464
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,538,1,r1
 , , , , , , ,d1,557,178,3,r1
 , , , , , , ,d2,1019,682,2,r2
 , , , , , , ,d3,1179,322,3,r2
 , , , , , , ,d4,1179,322,3,r2
 , , , , , , ,d5,248,106,3,r1


