Game number,Game FPC,Game DRP,Dominant player,Game Time [Msec],Time To first drag [Msec],Reference point,Data point,X,Y,Point value,Connection
1,2.2878928,0.6666667,1,15296,4545
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,682,4,r1
 , , , , , , ,d1,248,178,1,r1
 , , , , , , ,d2,865,178,2,r1
 , , , , , , ,d3,1019,250,2,r1
 , , , , , , ,d4,403,466,3,r1


2,2.002597,0.875,1,22870,3663
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,466,2,r1
 , , , , , , ,d1,94,682,2,r1
 , , , , , , ,d2,403,250,3,r2
 , , , , , , ,d3,1179,106,1,r2


3,2.7852983,1.0,1,9800,6320
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,538,2,r1
 , , , , , , ,d1,248,538,4,r2


4,2.5082066,0.6875,2,17632,4792
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,106,1,r2
 , , , , , , ,d1,403,322,3,r1
 , , , , , , ,d2,1333,106,3,r2
 , , , , , , ,d3,865,466,4,r2
 , , , , , , ,d4,248,178,1,r1
 , , , , , , ,d5,1019,322,4,r2


5,2.5588312,1.0,1,7024,2433
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,250,2,r2
 , , , , , , ,d1,94,106,3,r1


6,1.8027756,1.0,1,6368,2953
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,106,3,r1


7,3.942769,1.0,2,6712,3000
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1179,682,1,r1
 , , , , , , ,d1,1179,322,1,r2


8,6.0827627,1.0,1,7936,5921
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,466,2,r1


9,3.3606133,0.7,1,10904,5168
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1333,538,2,r2
 , , , , , , ,d1,403,322,4,r1
 , , , , , , ,d2,94,466,3,r1
 , , , , , , ,d3,865,538,1,r2


10,3.825957,0.53333336,1,21848,3112
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,394,3,r2
 , , , , , , ,d1,94,178,4,r1
 , , , , , , ,d2,94,466,1,r1
 , , , , , , ,d3,94,394,2,r1
 , , , , , , ,d4,1019,466,2,r1
 , , , , , , ,d5,248,538,1,r2
 , , , , , , ,d6,1019,322,2,r2


