Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,11400,2232,85.0,85.0
2,28735,1527,100.0,50.0
3,13201,3681,84.3,85.3
4,83959,7192,64.7,64.3
5,23195,4344,89.5,60.5
6,10133,2069,85.0,85.0

31.963366,Player SVO angle [Deg] :
