Game number,Game FPC,Game DRP,Dominant player,Game Time [Msec],Time To first drag [Msec],Reference point,Data point,X,Y,Point value,Connection
1,5.0,1.0,2,2656,808
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1333,466,2,r2


2,1.8951387,0.6666667,2,8520,800
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,538,1,r1
 , , , , , , ,d1,94,106,3,r1
 , , , , , , ,d2,1179,322,2,r1
 , , , , , , ,d3,1019,610,3,r2
 , , , , , , ,d4,1019,394,2,r1
 , , , , , , ,d5,403,394,1,r2
 , , , , , , ,d6,1179,106,3,r2


3,2.2237148,0.72727275,1,6583,656
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1333,250,1,r2
 , , , , , , ,d1,1333,682,2,r2
 , , , , , , ,d2,557,682,3,r2
 , , , , , , ,d3,557,178,4,r1
 , , , , , , ,d4,94,538,1,r1


4,1.5811388,1.0,1,1760,785
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,250,3,r1


5,2.3745275,0.6,1,4920,1288
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,682,4,r1
 , , , , , , ,d1,248,250,2,r1
 , , , , , , ,d2,1333,610,4,r2


6,1.8027756,1.0,1,1856,880
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,682,4,r1


7,1.915672,0.6923077,1,52381,35533
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,538,4,r1
 , , , , , , ,d1,94,178,2,r2
 , , , , , , ,d2,403,250,3,r1
 , , , , , , ,d3,865,682,4,r2


8,5.0,1.0,1,1288,912
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,466,2,r1


9,2.5742087,0.85714287,2,9800,1000
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1333,106,1,r1
 , , , , , , ,d1,1019,250,2,r2
 , , , , , , ,d2,1333,466,3,r1
 , , , , , , ,d3,1333,178,3,r2
 , , , , , , ,d4,1333,610,3,r2
 , , , , , , ,d5,557,682,2,r2


10,3.420564,0.5,0,5440,792
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1179,322,4,r2
 , , , , , , ,d1,403,250,2,r1
 , , , , , , ,d2,248,250,3,r1
 , , , , , , ,d3,403,322,3,r1
 , , , , , , ,d4,865,466,4,r2


