Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,7055,2024,85.0,85.0
2,149474,126427,100.0,50.0
3,21672,2505,85.0,85.0
4,17625,4633,64.7,64.3
5,8001,2504,74.5,75.5
6,12079,3943,85.15,84.65

36.62146,Player SVO angle [Deg] :
