Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,5777,2017,85.0,85.0
2,48872,3856,100.0,50.0
3,22942,3542,67.5,92.5
4,15296,2192,64.7,64.3
5,5095,2183,75.0,75.0
6,5728,1760,85.0,85.0

40.585308,Player SVO angle [Deg] :
