Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,18944,5664,85.0,29.0
2,8904,2463,97.6,44.4
3,23703,3815,85.0,85.0
4,48295,8255,85.0,15.0
5,20928,2288,94.5,55.5
6,23808,4376,98.5,53.5

-4.0988817,Player SVO angle [Deg] :
