Game number,Game FPC,Game DRP,Dominant player,Game Time [Msec],Time To first drag [Msec],Reference point,Data point,X,Y,Point value,Connection
1,1.5719956,0.5,0,10704,4400
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,682,4,r1
 , , , , , , ,d1,865,682,4,r2
 , , , , , , ,d2,1179,682,1,r2
 , , , , , , ,d3,557,106,1,r1


2,3.0568643,0.8333333,1,35584,2256
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,538,2,r2
 , , , , , , ,d1,248,106,3,r2
 , , , , , , ,d2,1179,466,1,r2
 , , , , , , ,d3,403,610,3,r2
 , , , , , , ,d4,557,322,2,r1
 , , , , , , ,d5,1019,322,1,r1


3,2.0399885,1.0,1,5911,2767
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,178,1,r1
 , , , , , , ,d1,248,610,4,r2


4,2.553278,0.8,2,14360,9016
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,610,1,r1
 , , , , , , ,d1,248,538,2,r1
 , , , , , , ,d2,1333,250,3,r2
 , , , , , , ,d3,1333,178,4,r2


5,2.9841309,0.5263158,2,63141,23430
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,178,3,r1
 , , , , , , ,d1,94,178,3,r2
 , , , , , , ,d2,1019,538,1,r1
 , , , , , , ,d3,94,394,3,r1
 , , , , , , ,d4,1179,610,3,r1
 , , , , , , ,d5,865,178,2,r2
 , , , , , , ,d6,1019,322,4,r2


6,1.8876544,0.5714286,2,23768,4423
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,538,4,r2
 , , , , , , ,d1,1333,106,3,r2
 , , , , , , ,d2,557,610,4,r1
 , , , , , , ,d3,403,178,2,r1
 , , , , , , ,d4,1019,610,1,r2


7,1.9813645,0.5714286,1,25617,4505
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,250,2,r2
 , , , , , , ,d1,403,250,1,r1
 , , , , , , ,d2,1019,178,1,r2
 , , , , , , ,d3,557,106,3,r2


8,1.5529858,1.0,2,8504,7240
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,682,2,r2


9,1.8240123,0.6,2,28640,7217
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1179,610,2,r1
 , , , , , , ,d1,94,610,4,r2
 , , , , , , ,d2,865,106,3,r2
 , , , , , , ,d3,865,178,1,r1


10,2.3558402,0.5,0,27632,20953
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,682,2,r2
 , , , , , , ,d1,1019,106,1,r1
 , , , , , , ,d2,94,610,3,r2
 , , , , , , ,d3,865,106,3,r2
 , , , , , , ,d4,94,322,3,r1


