Game number,Game FPC,Game DRP,Dominant player,Game Time [Msec],Time To first drag [Msec],Reference point,Data point,X,Y,Point value,Connection
1,1.9350852,0.7368421,1,63617,15713
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,610,4,r1
 , , , , , , ,d1,1019,394,4,r2
 , , , , , , ,d2,557,322,4,r1
 , , , , , , ,d3,865,322,1,r2
 , , , , , , ,d4,403,466,1,r1
 , , , , , , ,d5,403,250,3,r2
 , , , , , , ,d6,557,394,2,r1


2,4.038288,0.9285714,1,14016,3465
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,466,3,r1
 , , , , , , ,d1,1333,394,1,r2
 , , , , , , ,d2,557,682,1,r2
 , , , , , , ,d3,248,322,4,r1
 , , , , , , ,d4,94,682,1,r1
 , , , , , , ,d5,403,178,4,r2


3,4.0222373,0.8888889,1,5472,1520
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,322,4,r1
 , , , , , , ,d1,248,538,1,r1
 , , , , , , ,d2,248,466,3,r1
 , , , , , , ,d3,865,466,1,r2


4,3.1324556,0.5,0,5473,1968
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1333,322,2,r2
 , , , , , , ,d1,557,106,2,r1


5,1.8411003,0.8235294,1,36045,1861
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,610,1,r2
 , , , , , , ,d1,557,250,1,r1
 , , , , , , ,d2,557,682,4,r1
 , , , , , , ,d3,1019,250,3,r2
 , , , , , , ,d4,248,682,4,r1
 , , , , , , ,d5,557,538,4,r2


6,2.3106036,0.61538464,1,18784,6112
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,106,1,r2
 , , , , , , ,d1,1179,610,1,r1
 , , , , , , ,d2,403,178,4,r1
 , , , , , , ,d3,557,322,3,r1
 , , , , , , ,d4,1333,466,1,r2
 , , , , , , ,d5,865,178,3,r2


7,1.7125239,0.5714286,1,5585,2057
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,250,4,r1
 , , , , , , ,d1,865,466,3,r2


8,2.7087421,0.5714286,1,13047,5632
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,322,1,r1
 , , , , , , ,d1,865,682,3,r2
 , , , , , , ,d2,94,538,3,r1


9,5.0,1.0,2,4671,2080
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1333,466,3,r2


10,3.1466672,0.61538464,2,21856,5368
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1179,178,3,r2
 , , , , , , ,d1,865,466,1,r1
 , , , , , , ,d2,248,466,3,r1
 , , , , , , ,d3,248,538,2,r1
 , , , , , , ,d4,1019,538,4,r2


