Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,17272,2911,85.0,85.0
2,11880,2495,100.0,50.0
3,22095,2416,85.0,85.0
4,37112,1384,66.45,60.05
5,16200,4552,80.0,70.0
6,35624,2679,85.0,85.0

33.837486,Player SVO angle [Deg] :
