Game number,Game FPC,Game DRP,Dominant player,Game Time [Msec],Time To first drag [Msec],Reference point,Data point,X,Y,Point value,Connection
1,3.193375,1.0,1,5088,1680
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,610,1,r2
 , , , , , , ,d1,94,466,2,r1


2,2.4759376,0.90909094,2,13679,1504
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1333,250,3,r2
 , , , , , , ,d1,865,610,3,r1
 , , , , , , ,d2,1333,178,1,r2
 , , , , , , ,d3,1179,250,2,r2
 , , , , , , ,d4,557,178,1,r1
 , , , , , , ,d5,1333,250,1,r2


3,1.6917958,0.6666667,1,9633,1801
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,610,1,r1
 , , , , , , ,d1,94,106,1,r1
 , , , , , , ,d2,865,466,3,r2
 , , , , , , ,d3,557,538,4,r2


4,3.2291722,0.8888889,1,10160,2544
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,682,3,r2
 , , , , , , ,d1,1019,106,1,r1
 , , , , , , ,d2,94,394,4,r1
 , , , , , , ,d3,403,250,1,r2


5,1.9219544,1.0,2,5400,1352
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,394,4,r2
 , , , , , , ,d1,865,322,1,r1


6,2.3171105,0.8333333,2,20048,1424
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,538,1,r1
 , , , , , , ,d1,1019,682,2,r2
 , , , , , , ,d2,1179,178,3,r2


7,1.9335731,0.6875,2,15032,2567
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,106,3,r1
 , , , , , , ,d1,248,538,1,r1
 , , , , , , ,d2,865,466,4,r2
 , , , , , , ,d3,557,250,1,r1
 , , , , , , ,d4,1179,682,3,r2
 , , , , , , ,d5,865,610,1,r2
 , , , , , , ,d6,1179,106,3,r1


8,2.7259953,0.6363636,2,11048,1600
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1333,106,2,r2
 , , , , , , ,d1,1179,178,2,r1
 , , , , , , ,d2,1179,322,3,r2
 , , , , , , ,d3,403,682,1,r1
 , , , , , , ,d4,248,106,3,r2


9,2.408319,1.0,1,13367,4119
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,250,3,r2


10,2.126114,1.0,1,5216,1488
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,466,4,r1
 , , , , , , ,d1,403,538,3,r2


