Game number,Game FPC,Game DRP,Dominant player,Game Time [Msec],Time To first drag [Msec],Reference point,Data point,X,Y,Point value,Connection
1,2.7907212,0.5833333,2,49832,4608
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,466,2,r1
 , , , , , , ,d1,94,466,2,r2
 , , , , , , ,d2,865,178,2,r2
 , , , , , , ,d3,1333,178,3,r1
 , , , , , , ,d4,403,682,3,r1


2,2.1487658,0.8333333,2,16432,8256
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,538,4,r1
 , , , , , , ,d1,1333,106,4,r1
 , , , , , , ,d2,1333,538,2,r2
 , , , , , , ,d3,248,106,2,r2


3,2.282443,0.6363636,2,12343,2984
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1179,250,2,r1
 , , , , , , ,d1,1019,394,1,r1
 , , , , , , ,d2,403,322,1,r1
 , , , , , , ,d3,1179,610,4,r2
 , , , , , , ,d4,403,250,3,r2


4,3.255764,1.0,1,7608,5720
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,250,1,r2


5,1.9219544,1.0,2,8312,2632
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,178,4,r1
 , , , , , , ,d1,865,394,2,r2


6,3.5733423,0.5,0,17607,7768
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,322,2,r1
 , , , , , , ,d1,1019,322,2,r1
 , , , , , , ,d2,1333,394,3,r2
 , , , , , , ,d3,557,322,3,r1


7,2.6989796,0.6111111,2,15936,2303
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,178,4,r2
 , , , , , , ,d1,248,466,3,r1
 , , , , , , ,d2,248,610,4,r2
 , , , , , , ,d3,865,322,1,r1
 , , , , , , ,d4,1179,610,2,r1
 , , , , , , ,d5,1333,610,4,r2


8,4.318554,0.5,0,10216,2936
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,178,3,r1
 , , , , , , ,d1,1179,322,3,r1
 , , , , , , ,d2,94,682,1,r2
 , , , , , , ,d3,1333,394,1,r2


9,3.6963165,0.6363636,1,8272,1504
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,178,3,r1
 , , , , , , ,d1,248,538,4,r2
 , , , , , , ,d2,1179,466,4,r1


10,2.325675,0.7,2,22449,2553
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,682,1,r1
 , , , , , , ,d1,1333,538,2,r2
 , , , , , , ,d2,557,106,1,r2
 , , , , , , ,d3,248,250,1,r1
 , , , , , , ,d4,865,466,2,r1
 , , , , , , ,d5,1179,250,3,r1


