Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,4104,2168,85.0,44.4
2,3448,2457,91.9,31.1
3,52985,1512,71.7,90.7
4,2464,1272,76.25,36.25
5,12647,8679,84.5,65.5
6,2504,1200,96.1,59.1

7.5005426,Player SVO angle [Deg] :
