Game number,Game FPC,Game DRP,Dominant player,Game Time [Msec],Time To first drag [Msec],Reference point,Data point,X,Y,Point value,Connection
1,2.2201824,0.5714286,1,11496,5304
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,538,1,r1
 , , , , , , ,d1,865,466,3,r1
 , , , , , , ,d2,94,178,3,r1


2,2.9471266,0.8666667,1,12768,2680
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,322,2,r1
 , , , , , , ,d1,403,610,3,r1
 , , , , , , ,d2,248,682,4,r1
 , , , , , , ,d3,1179,466,2,r1
 , , , , , , ,d4,248,538,4,r1


3,1.8959392,1.0,2,19750,2158
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,466,4,r1
 , , , , , , ,d1,865,394,2,r1
 , , , , , , ,d2,1019,178,4,r1


4,2.7918396,0.84615386,2,12177,2593
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,106,1,r1
 , , , , , , ,d1,1333,250,3,r1
 , , , , , , ,d2,1179,322,4,r1
 , , , , , , ,d3,557,682,1,r1
 , , , , , , ,d4,1179,682,4,r1


5,1.9553847,1.0,1,4263,1320
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,106,2,r1


6,2.5447168,0.6875,1,15232,2488
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,106,2,r1
 , , , , , , ,d1,403,322,1,r1
 , , , , , , ,d2,94,250,4,r1
 , , , , , , ,d3,1019,466,3,r1
 , , , , , , ,d4,94,106,2,r1
 , , , , , , ,d5,557,250,4,r1


7,2.5068803,0.54545456,1,11400,1352
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,106,1,r1
 , , , , , , ,d1,403,610,2,r1
 , , , , , , ,d2,248,178,1,r1
 , , , , , , ,d3,1019,394,1,r1
 , , , , , , ,d4,1333,394,3,r2
 , , , , , , ,d5,94,178,3,r1


8,1.7877078,0.61538464,1,8792,2000
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1179,682,2,r1
 , , , , , , ,d1,403,250,4,r1
 , , , , , , ,d2,403,682,4,r1
 , , , , , , ,d3,865,178,3,r1


9,3.5,1.0,2,5279,1240
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,394,4,r1
 , , , , , , ,d1,1333,322,1,r1


10,2.0971234,0.71428573,1,8097,1273
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,610,2,r1
 , , , , , , ,d1,1019,106,1,r1
 , , , , , , ,d2,1179,250,1,r1
 , , , , , , ,d3,557,682,3,r1


