Game number,Game FPC,Game DRP,Dominant player,Game Time [Msec],Time To first drag [Msec],Reference point,Data point,X,Y,Point value,Connection
1,2.236068,1.0,2,19253,3381
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1179,178,1,r2


2,2.5230827,0.5,0,9528,1936
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,682,2,r1
 , , , , , , ,d1,1179,610,1,r2
 , , , , , , ,d2,1333,538,2,r2
 , , , , , , ,d3,94,178,4,r1
 , , , , , , ,d4,1179,250,3,r2


3,1.4036982,0.625,1,4616,1321
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,250,2,r1
 , , , , , , ,d1,1179,106,3,r2
 , , , , , , ,d2,403,394,3,r1


4,3.9935951,0.53846157,1,18776,2056
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,322,2,r1
 , , , , , , ,d1,94,322,3,r1
 , , , , , , ,d2,94,322,3,r1
 , , , , , , ,d3,1179,250,2,r2
 , , , , , , ,d4,1333,106,2,r2
 , , , , , , ,d5,94,394,1,r1


5,2.5384898,0.8125,1,11008,1104
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,466,4,r1
 , , , , , , ,d1,1333,538,1,r2
 , , , , , , ,d2,94,610,2,r1
 , , , , , , ,d3,1019,106,2,r2
 , , , , , , ,d4,557,394,4,r1
 , , , , , , ,d5,94,610,3,r1


6,3.2824469,0.71428573,2,15304,2696
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1333,538,2,r1
 , , , , , , ,d1,557,250,1,r1
 , , , , , , ,d2,1019,466,2,r1
 , , , , , , ,d3,1333,610,2,r1
 , , , , , , ,d4,1333,394,4,r2
 , , , , , , ,d5,403,178,3,r1


7,3.3132453,0.75,1,10560,1704
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,394,1,r1
 , , , , , , ,d1,403,106,2,r2
 , , , , , , ,d2,865,610,1,r1


8,2.3480074,0.8181818,2,11352,1664
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,250,2,r1
 , , , , , , ,d1,1019,394,2,r2
 , , , , , , ,d2,1019,538,1,r1
 , , , , , , ,d3,1333,322,1,r2
 , , , , , , ,d4,248,682,1,r1
 , , , , , , ,d5,403,538,1,r2
 , , , , , , ,d6,1333,178,3,r1


9,2.7963681,0.84615386,1,12744,7984
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,178,1,r1
 , , , , , , ,d1,94,322,3,r1
 , , , , , , ,d2,1333,682,2,r2
 , , , , , , ,d3,248,250,4,r1
 , , , , , , ,d4,403,610,1,r2
 , , , , , , ,d5,403,538,2,r2


10,3.1562638,0.8235294,1,11792,2032
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,250,3,r2
 , , , , , , ,d1,248,610,3,r1
 , , , , , , ,d2,94,322,2,r1
 , , , , , , ,d3,403,394,2,r1
 , , , , , , ,d4,403,322,4,r2
 , , , , , , ,d5,94,394,1,r1
 , , , , , , ,d6,557,322,2,r2


