Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,28928,2297,85.0,85.0
2,21712,3192,100.0,50.0
3,33868,19032,85.0,85.0
4,30401,3065,64.7,64.3
5,25857,1937,75.0,75.0
6,10079,5400,85.0,85.0

36.54362,Player SVO angle [Deg] :
