Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,141614,103381,85.0,85.0
2,69528,56921,100.0,50.0
3,10055,5193,85.0,85.0
4,10440,4242,85.0,15.0
5,7824,3945,100.0,50.0
6,8432,2313,85.0,85.0

16.260206,Player SVO angle [Deg] :
