Game number,Game FPC,Game DRP,Dominant player,Game Time [Msec],Time To first drag [Msec],Reference point,Data point,X,Y,Point value,Connection
1,1.8363049,0.6666667,2,27733,6334
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,682,3,r1
 , , , , , , ,d1,865,250,1,r1
 , , , , , , ,d2,1333,178,3,r2
 , , , , , , ,d3,1179,682,2,r2


2,1.8282666,1.0,2,15208,6632
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,682,4,r1
 , , , , , , ,d1,1019,682,3,r1
 , , , , , , ,d2,1333,682,3,r2
 , , , , , , ,d3,1019,610,3,r2
 , , , , , , ,d4,1179,610,2,r1


3,2.2465587,0.6666667,1,12824,2577
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,538,3,r1
 , , , , , , ,d1,403,682,3,r2
 , , , , , , ,d2,403,466,3,r1


4,1.9414731,0.7777778,2,33576,9496
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1179,106,1,r1
 , , , , , , ,d1,1333,250,2,r2
 , , , , , , ,d2,557,106,2,r1
 , , , , , , ,d3,1179,682,2,r2
 , , , , , , ,d4,865,538,2,r1


5,3.244174,0.5714286,2,30464,4048
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,322,2,r1
 , , , , , , ,d1,557,106,2,r2
 , , , , , , ,d2,557,394,3,r1
 , , , , , , ,d3,1179,466,4,r1
 , , , , , , ,d4,1019,322,4,r2
 , , , , , , ,d5,557,682,2,r1
 , , , , , , ,d6,1333,610,4,r2


6,3.701666,0.8888889,2,8424,2425
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1333,610,2,r2
 , , , , , , ,d1,248,250,1,r2
 , , , , , , ,d2,1179,610,4,r1
 , , , , , , ,d3,1333,394,2,r2


7,1.7500923,0.90909094,2,33952,11384
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,322,4,r2
 , , , , , , ,d1,94,682,1,r1
 , , , , , , ,d2,865,178,1,r1
 , , , , , , ,d3,1019,394,3,r1
 , , , , , , ,d4,1179,682,2,r2


8,2.0118244,0.71428573,1,37945,1856
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,178,4,r2
 , , , , , , ,d1,1019,538,1,r1
 , , , , , , ,d2,557,178,1,r1
 , , , , , , ,d3,1019,178,1,r1


9,2.8877835,1.0,1,12616,5289
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,322,4,r1
 , , , , , , ,d1,94,610,3,r1
 , , , , , , ,d2,403,466,3,r2
 , , , , , , ,d3,403,610,4,r2
 , , , , , , ,d4,557,250,2,r2


10,3.2272854,0.5,0,14184,4121
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,682,3,r1
 , , , , , , ,d1,1333,394,2,r2
 , , , , , , ,d2,94,682,2,r1
 , , , , , , ,d3,94,322,1,r1
 , , , , , , ,d4,1179,682,1,r2
 , , , , , , ,d5,1179,106,3,r2


