Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,8680,821,85.0,47.9
2,62732,57437,89.95,26.55
3,7192,1288,85.0,85.0
4,4824,1419,54.9,88.1
5,5640,1163,88.5,61.5
6,5704,1443,93.85,64.35

20.415823,Player SVO angle [Deg] :
