Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,20505,1616,85.0,15.0
2,21048,4057,100.0,50.0
3,95197,14509,85.0,85.0
4,7040,2257,85.0,15.0
5,4519,1647,100.0,50.0
6,3880,1263,100.0,50.0

-7.8152924,Player SVO angle [Deg] :
