Game number,Game FPC,Game DRP,Dominant player,Game Time [Msec],Time To first drag [Msec],Reference point,Data point,X,Y,Point value,Connection
1,4.136106,1.0,2,4425,1664
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1333,178,4,r2
 , , , , , , ,d1,1333,322,3,r2
 , , , , , , ,d2,1333,322,4,r2


2,1.5338433,0.75,1,5408,2616
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1179,106,1,r2
 , , , , , , ,d1,557,682,3,r1


3,2.3068128,0.7777778,1,12017,1720
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,538,3,r1
 , , , , , , ,d1,248,682,4,r1
 , , , , , , ,d2,1333,682,2,r2


4,3.2383554,0.6666667,1,30759,2664
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1179,466,3,r2
 , , , , , , ,d1,557,250,1,r2
 , , , , , , ,d2,403,682,4,r1
 , , , , , , ,d3,557,538,4,r1
 , , , , , , ,d4,1019,322,1,r2
 , , , , , , ,d5,1333,394,1,r2
 , , , , , , ,d6,557,682,1,r1


5,1.876205,0.6,1,41248,3024
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,682,2,r1
 , , , , , , ,d1,403,538,4,r1
 , , , , , , ,d2,1333,682,4,r2


6,2.098743,0.8181818,1,25648,3824
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,106,3,r1
 , , , , , , ,d1,94,610,1,r1
 , , , , , , ,d2,1179,106,4,r2
 , , , , , , ,d3,557,322,3,r1
 , , , , , , ,d4,557,466,3,r2
 , , , , , , ,d5,557,538,4,r2
 , , , , , , ,d6,94,250,4,r1


7,1.7542112,0.5,0,13864,3616
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,106,4,r1
 , , , , , , ,d1,248,178,4,r1
 , , , , , , ,d2,1333,538,4,r2
 , , , , , , ,d3,1019,610,1,r2
 , , , , , , ,d4,865,178,1,r2
 , , , , , , ,d5,1019,394,2,r2


8,1.8439089,1.0,2,1735,1311
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,178,2,r2


9,2.2135944,0.5714286,1,14558,3143
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1179,250,3,r2
 , , , , , , ,d1,557,682,4,r1


10,1.7774976,0.85714287,2,9335,1456
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1179,106,3,r2
 , , , , , , ,d1,865,466,1,r2
 , , , , , , ,d2,557,466,2,r1
 , , , , , , ,d3,1019,682,4,r2
 , , , , , , ,d4,865,322,4,r2


