Game number,Game FPC,Game DRP,Dominant player,Game Time [Msec],Time To first drag [Msec],Reference point,Data point,X,Y,Point value,Connection
1,1.5529858,1.0,1,5623,2896
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,106,1,r1


2,1.9833379,0.5833333,2,19464,2256
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,394,3,r1
 , , , , , , ,d1,1019,106,4,r1
 , , , , , , ,d2,1333,682,1,r2
 , , , , , , ,d3,94,178,2,r1
 , , , , , , ,d4,865,394,2,r2


3,3.1190014,0.5,0,13176,2784
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,178,3,r1
 , , , , , , ,d1,1179,106,2,r2
 , , , , , , ,d2,1333,394,4,r1
 , , , , , , ,d3,557,106,3,r1


4,2.4043524,0.5,0,23640,8488
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,466,4,r1
 , , , , , , ,d1,557,610,3,r1
 , , , , , , ,d2,865,178,3,r2
 , , , , , , ,d3,865,322,4,r1


5,2.5332243,0.8181818,2,17544,1760
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1333,538,3,r1
 , , , , , , ,d1,1333,250,4,r1
 , , , , , , ,d2,1333,322,4,r1
 , , , , , , ,d3,403,394,4,r1
 , , , , , , ,d4,865,322,3,r2
 , , , , , , ,d5,1019,610,4,r1


6,1.9350712,0.6666667,1,12072,3024
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,250,3,r2
 , , , , , , ,d1,403,610,3,r1
 , , , , , , ,d2,1019,106,3,r1


7,4.0034676,1.0,1,8808,2000
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,466,4,r1
 , , , , , , ,d1,403,466,3,r1
 , , , , , , ,d2,94,466,3,r1
 , , , , , , ,d3,94,178,2,r1


8,3.08807,1.0,2,21544,2488
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1333,682,1,r2
 , , , , , , ,d1,1019,106,4,r1
 , , , , , , ,d2,865,466,3,r1
 , , , , , , ,d3,1333,394,3,r1


9,4.6146364,1.0,2,9953,2577
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,610,3,r1
 , , , , , , ,d1,1333,466,3,r1
 , , , , , , ,d2,1333,394,3,r1


10,2.6571536,0.6666667,1,10176,2015
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,322,2,r1
 , , , , , , ,d1,94,106,1,r2
 , , , , , , ,d2,557,682,1,r2
 , , , , , , ,d3,1019,250,2,r1


