Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,18248,9690,85.0,85.0
2,9295,2200,85.0,15.0
3,37076,24796,85.0,85.0
4,38521,5577,66.45,60.05
5,6896,2282,100.0,50.0
6,6432,2543,100.0,50.0

11.498877,Player SVO angle [Deg] :
