Game number,Game FPC,Game DRP,Dominant player,Game Time [Msec],Time To first drag [Msec],Reference point,Data point,X,Y,Point value,Connection
1,2.8223834,0.6875,1,26537,1649
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1179,250,1,r2
 , , , , , , ,d1,1333,106,3,r2
 , , , , , , ,d2,94,394,4,r1
 , , , , , , ,d3,403,394,3,r2
 , , , , , , ,d4,1333,610,1,r2
 , , , , , , ,d5,94,610,4,r1


2,1.9853685,0.64285713,1,16360,4921
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,610,1,r2
 , , , , , , ,d1,403,610,2,r2
 , , , , , , ,d2,403,466,4,r1
 , , , , , , ,d3,248,682,2,r2
 , , , , , , ,d4,1333,106,2,r2
 , , , , , , ,d5,865,538,1,r2
 , , , , , , ,d6,865,106,2,r2


3,3.1848764,0.5,0,30485,1653
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,394,1,r2
 , , , , , , ,d1,865,394,1,r2
 , , , , , , ,d2,248,178,2,r1
 , , , , , , ,d3,1179,466,2,r2
 , , , , , , ,d4,403,322,2,r2


4,2.818072,0.53846157,1,7184,1929
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,610,4,r1
 , , , , , , ,d1,1179,466,3,r2
 , , , , , , ,d2,248,106,3,r2
 , , , , , , ,d3,865,394,3,r2


5,2.1700299,0.6363636,2,10760,3856
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,322,4,r1
 , , , , , , ,d1,865,610,3,r2
 , , , , , , ,d2,1019,610,2,r2
 , , , , , , ,d3,1019,322,2,r2


6,1.6404417,0.5833333,2,24064,1711
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,538,4,r1
 , , , , , , ,d1,1179,538,3,r2
 , , , , , , ,d2,1019,394,1,r2
 , , , , , , ,d3,865,250,1,r2
 , , , , , , ,d4,1019,106,1,r2
 , , , , , , ,d5,1019,322,1,r2
 , , , , , , ,d6,403,394,1,r2


7,1.7909021,0.54545456,2,10399,2095
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1019,394,1,r2
 , , , , , , ,d1,1333,610,4,r1
 , , , , , , ,d2,557,538,3,r2
 , , , , , , ,d3,1179,538,1,r2
 , , , , , , ,d4,248,682,2,r2


8,4.190199,0.7777778,1,9823,2207
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,394,4,r1
 , , , , , , ,d1,248,538,3,r2
 , , , , , , ,d2,1333,610,2,r2


9,2.3666692,1.0,1,15000,2176
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,394,3,r2
 , , , , , , ,d1,557,538,4,r1
 , , , , , , ,d2,248,322,1,r2
 , , , , , , ,d3,248,682,2,r2


10,4.2835307,0.5714286,2,20240,1928
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1179,250,3,r2
 , , , , , , ,d1,248,322,3,r2
 , , , , , , ,d2,1019,322,1,r2


