Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,43731,40825,85.0,80.1
2,31994,6923,100.0,50.0
3,4990,1672,85.0,85.0
4,11751,2125,50.0,100.0
5,5319,2100,100.0,50.0
6,9672,1984,100.0,50.0

27.617748,Player SVO angle [Deg] :
