Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,43720,7161,85.0,43.0
2,40448,3697,100.0,50.0
3,21456,1721,85.0,85.0
4,19424,5393,71.0,48.999996
5,8464,2769,85.0,65.0
6,71893,10374,92.5,67.5

15.232931,Player SVO angle [Deg] :
