Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,12217,4560,85.0,85.0
2,23878,7206,98.65,46.85
3,11704,3872,85.0,85.0
4,38055,10040,67.5,57.5
5,27161,2881,75.0,75.0
6,16520,3993,85.0,85.0

34.408615,Player SVO angle [Deg] :
