Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,47407,2167,85.0,50.0
2,7153,3441,100.0,50.0
3,5143,2240,85.0,85.0
4,117798,4606,85.0,15.0
5,9888,2400,100.0,50.0
6,13768,3400,100.0,50.0

0.0,Player SVO angle [Deg] :
