Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,5552,1856,85.0,61.199997
2,102231,5088,100.0,50.0
3,12079,7583,85.0,85.0
4,7577,2600,73.45,43.05
5,23000,3304,75.0,75.0
6,11584,8248,85.0,85.0

26.00473,Player SVO angle [Deg] :
