Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,18017,2481,85.0,85.0
2,29359,1455,100.0,50.0
3,47812,5611,85.0,85.0
4,18768,5660,65.75,61.75
5,18512,8336,77.0,73.0
6,8568,2056,85.15,84.65

35.160717,Player SVO angle [Deg] :
