Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,12856,7368,85.0,85.0
2,8856,4584,100.0,50.0
3,30190,3119,85.0,85.0
4,14576,12088,85.0,15.0
5,9400,6192,100.0,50.0
6,7832,4536,100.0,50.0

7.8152924,Player SVO angle [Deg] :
