Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,11440,2649,85.0,30.400002
2,11176,3768,91.0,29.0
3,501021,4048,85.0,85.0
4,15496,3000,70.65,49.850002
5,10192,3016,100.0,50.0
6,9736,2018,94.0,64.0

2.0938609,Player SVO angle [Deg] :
