Game number,Game FPC,Game DRP,Dominant player,Game Time [Msec],Time To first drag [Msec],Reference point,Data point,X,Y,Point value,Connection
1,2.3806915,0.6666667,1,10111,5903
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1333,106,4,r2
 , , , , , , ,d1,557,250,4,r1
 , , , , , , ,d2,403,322,4,r1


2,2.058059,0.75,1,77800,7241
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,610,2,r1
 , , , , , , ,d1,403,538,4,r2
 , , , , , , ,d2,1333,682,3,r2
 , , , , , , ,d3,1333,538,1,r2
 , , , , , , ,d4,94,682,3,r1
 , , , , , , ,d5,557,178,3,r1


3,2.0,1.0,1,3895,1944
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,394,4,r2


4,7.0,1.0,1,1752,1441
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,394,2,r1


5,3.1082885,0.9230769,1,8583,1320
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,538,4,r1
 , , , , , , ,d1,248,322,4,r1
 , , , , , , ,d2,557,538,3,r1
 , , , , , , ,d3,1019,106,1,r2
 , , , , , , ,d4,248,250,1,r1


6,1.9423311,0.7,1,8497,1529
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,538,1,r1
 , , , , , , ,d1,557,682,4,r2
 , , , , , , ,d2,1333,106,3,r2
 , , , , , , ,d3,557,178,2,r1


7,2.765589,0.5714286,1,15136,3224
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1179,466,1,r2
 , , , , , , ,d1,403,250,4,r1
 , , , , , , ,d2,1333,178,2,r2
 , , , , , , ,d3,1179,610,1,r2
 , , , , , , ,d4,94,538,1,r1
 , , , , , , ,d5,865,538,2,r2
 , , , , , , ,d6,557,178,3,r1


8,2.510683,0.6,1,9528,2864
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,403,538,4,r1
 , , , , , , ,d1,248,538,2,r2
 , , , , , , ,d2,1179,178,1,r2
 , , , , , , ,d3,1179,178,3,r2


9,2.408319,1.0,2,5440,3920
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1333,610,4,r2


10,2.4174793,0.5,0,11664,3761
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,394,3,r2
 , , , , , , ,d1,248,610,3,r1
 , , , , , , ,d2,1019,466,1,r2
 , , , , , , ,d3,248,250,1,r1
 , , , , , , ,d4,1179,178,3,r2
 , , , , , , ,d5,557,682,3,r1


