Game number,Game FPC,Game DRP,Dominant player,Game Time [Msec],Time To first drag [Msec],Reference point,Data point,X,Y,Point value,Connection
1,1.8556662,1.0,1,28656,11512
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,322,2,r2
 , , , , , , ,d1,94,610,3,r1
 , , , , , , ,d2,403,178,3,r1
 , , , , , , ,d3,94,178,2,r1
 , , , , , , ,d4,557,106,3,r2
 , , , , , , ,d5,557,106,3,r2
 , , , , , , ,d6,94,682,1,r1


2,0.6324555,0.5,0,6504,2769
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,557,106,1,r1
 , , , , , , ,d1,1019,394,1,r2


3,1.3867505,1.0,2,6936,4064
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,178,2,r2


4,2.5479329,0.5833333,1,37517,8253
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,106,2,r2
 , , , , , , ,d1,248,610,4,r1
 , , , , , , ,d2,248,538,3,r1
 , , , , , , ,d3,248,466,4,r1
 , , , , , , ,d4,1019,682,4,r2
 , , , , , , ,d5,94,106,3,r1
 , , , , , , ,d6,865,250,4,r2


5,1.264911,1.0,2,10864,2472
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,865,106,3,r1


6,1.7058873,0.5555556,2,12280,6312
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,682,4,r1
 , , , , , , ,d1,865,538,3,r2
 , , , , , , ,d2,865,250,2,r2


7,2.3227816,0.6666667,2,22656,2440
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,538,1,r1
 , , , , , , ,d1,865,466,2,r1
 , , , , , , ,d2,1179,178,2,r2
 , , , , , , ,d3,94,106,1,r1


8,3.8581984,0.5714286,1,6169,2448
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,248,466,2,r1
 , , , , , , ,d1,1333,250,3,r2
 , , , , , , ,d2,248,178,2,r1


9,4.638316,0.53333336,2,17392,5120
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,1179,322,3,r2
 , , , , , , ,d1,557,682,4,r1
 , , , , , , ,d2,94,394,3,r1
 , , , , , , ,d3,865,466,3,r1
 , , , , , , ,d4,1333,394,2,r2


10,3.6314955,1.0,1,23944,8208
 , , , , , ,r1, ,282,435
 , , , , , ,r2, ,1213,435
 , , , , , , ,d0,94,394,2,r1
 , , , , , , ,d1,248,538,2,r1
 , , , , , , ,d2,94,610,3,r1
 , , , , , , ,d3,94,682,3,r2


