Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,54872,13104,85.0,85.0
2,10496,9104,100.0,50.0
3,9712,4056,85.0,85.0
4,82077,44229,85.0,15.0
5,19001,2104,100.0,50.0
6,15415,3215,100.0,50.0

7.8152924,Player SVO angle [Deg] :
