Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,6057,1321,85.0,27.600002
2,7016,1480,96.85,42.65
3,9504,1516,72.75,90.25
4,54123,2888,67.15,58.35
5,65513,18945,66.5,83.5
6,4183,1625,94.3,63.3

19.779982,Player SVO angle [Deg] :
