Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,20848,9640,85.0,85.0
2,35240,4009,100.0,50.0
3,14513,3641,85.0,85.0
4,59711,1763,50.0,100.0
5,59175,8352,65.0,85.0
6,123008,9096,85.0,85.0

48.179825,Player SVO angle [Deg] :
