Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,12592,4360,85.0,22.0
2,9847,3063,97.0,43.0
3,15984,4000,85.0,85.0
4,9641,4648,53.5,91.5
5,113950,80766,85.0,65.0
6,9568,2504,85.6,83.6

25.242989,Player SVO angle [Deg] :
