Game number,Game Time [Msec],Time To first drag [Msec],Self value,Other value
1,7160,3056,85.0,15.0
2,6920,3969,100.0,50.0
3,21264,9811,85.0,85.0
4,12425,2996,85.0,15.0
5,48079,6872,100.0,50.0
6,19399,5354,100.0,50.0

-7.8152924,Player SVO angle [Deg] :
