game_number,x1,x2,x3,x4,x5,x6,y
BT_316593185_22_F_PlayerNmber2.csv,2.9756,0.0,1,9,4,33.837486,1
BT_316593185_22_F_PlayerNmber2.csv,2.4123,1.0,2,13,6,33.837486,1
BT_316593185_22_F_PlayerNmber2.csv,2.4123,1.0,2,13,6,33.837486,1
BT_316593185_22_F_PlayerNmber2.csv,2.4123,0.0,2,13,6,33.837486,0
BT_316593185_22_F_PlayerNmber2.csv,2.4123,0.0,2,13,6,33.837486,1
BT_316593185_22_F_PlayerNmber2.csv,2.4123,0.0,2,13,6,33.837486,1
BT_316593185_22_F_PlayerNmber2.csv,2.4123,0.0,2,13,6,33.837486,1
BT_316593185_22_F_PlayerNmber2.csv,1.8743,1.0,1,10,3,33.837486,1
BT_316593185_22_F_PlayerNmber2.csv,1.8743,1.0,1,10,3,33.837486,1
BT_316593185_22_F_PlayerNmber2.csv,1.8743,0.0,1,10,3,33.837486,1
BT_316593185_22_F_PlayerNmber2.csv,2.4557,1.0,2,8,4,33.837486,1
BT_316593185_22_F_PlayerNmber2.csv,2.4557,0.0,2,8,4,33.837486,1
BT_316593185_22_F_PlayerNmber2.csv,2.4557,0.0,2,8,4,33.837486,1
BT_316593185_22_F_PlayerNmber2.csv,2.4557,0.0,2,8,4,33.837486,0
BT_311144943_24_M_PlayerNmber2.csv,1.7246,1.0,0,12,5,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,1.7246,1.0,0,12,5,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,1.7246,0.0,0,12,5,14.743562,0
BT_311144943_24_M_PlayerNmber2.csv,1.7246,0.0,0,12,5,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,1.7246,0.0,0,12,5,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,2.0975,1.0,0,12,4,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,2.0975,1.0,0,12,4,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,2.0975,0.0,0,12,4,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,2.0975,0.0,0,12,4,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,2.3319,1.0,1,14,6,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,2.3319,1.0,1,14,6,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,2.3319,1.0,1,14,6,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,2.3319,0.0,1,14,6,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,2.3319,0.0,1,14,6,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,2.3319,0.0,1,14,6,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,2.3755,1.0,2,9,5,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,2.3755,1.0,2,9,5,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,2.3755,0.0,2,9,5,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,2.3755,0.0,2,9,5,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,2.3755,0.0,2,9,5,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,2.0183,1.0,1,6,3,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,2.0183,1.0,1,6,3,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,2.0183,0.0,1,6,3,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,3.544,1.0,2,11,3,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,3.544,0.0,2,11,3,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,3.544,0.0,2,11,3,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,2.9756,1.0,1,9,4,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,2.9756,1.0,1,9,4,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,2.9756,1.0,1,9,4,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,2.9756,0.0,1,9,4,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,2.4123,1.0,2,13,6,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,2.4123,1.0,2,13,6,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,2.4123,0.0,2,13,6,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,2.4123,0.0,2,13,6,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,2.4123,0.0,2,13,6,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,2.4123,0.0,2,13,6,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,1.8743,1.0,1,10,3,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,1.8743,1.0,1,10,3,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,1.8743,0.0,1,10,3,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,2.4557,1.0,2,8,4,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,2.4557,0.0,2,8,4,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,2.4557,0.0,2,8,4,14.743562,1
BT_311144943_24_M_PlayerNmber2.csv,2.4557,0.0,2,8,4,14.743562,1
BT_316394980_22_F_PlayerNmber2.csv,1.7246,1.0,0,12,5,42.303604,1
BT_316394980_22_F_PlayerNmber2.csv,1.7246,1.0,0,12,5,42.303604,1
BT_316394980_22_F_PlayerNmber2.csv,1.7246,0.0,0,12,5,42.303604,1
BT_316394980_22_F_PlayerNmber2.csv,1.7246,0.0,0,12,5,42.303604,1
BT_316394980_22_F_PlayerNmber2.csv,1.7246,0.0,0,12,5,42.303604,1
BT_316394980_22_F_PlayerNmber2.csv,2.0975,1.0,0,12,4,42.303604,1
BT_316394980_22_F_PlayerNmber2.csv,2.0975,1.0,0,12,4,42.303604,1
BT_316394980_22_F_PlayerNmber2.csv,2.0975,0.0,0,12,4,42.303604,1
BT_316394980_22_F_PlayerNmber2.csv,2.0975,0.0,0,12,4,42.303604,1
BT_316394980_22_F_PlayerNmber2.csv,2.3319,1.0,1,14,6,42.303604,1
BT_316394980_22_F_PlayerNmber2.csv,2.3319,1.0,1,14,6,42.303604,1
BT_316394980_22_F_PlayerNmber2.csv,2.3319,1.0,1,14,6,42.303604,0
BT_316394980_22_F_PlayerNmber2.csv,2.3319,0.0,1,14,6,42.303604,0
BT_316394980_22_F_PlayerNmber2.csv,2.3319,0.0,1,14,6,42.303604,1
BT_316394980_22_F_PlayerNmber2.csv,2.3319,0.0,1,14,6,42.303604,1
BT_316394980_22_F_PlayerNmber2.csv,2.3755,1.0,2,9,5,42.303604,0
BT_316394980_22_F_PlayerNmber2.csv,2.3755,1.0,2,9,5,42.303604,0
BT_316394980_22_F_PlayerNmber2.csv,2.3755,0.0,2,9,5,42.303604,1
BT_316394980_22_F_PlayerNmber2.csv,2.3755,0.0,2,9,5,42.303604,0
BT_316394980_22_F_PlayerNmber2.csv,2.3755,0.0,2,9,5,42.303604,1
BT_316394980_22_F_PlayerNmber2.csv,2.0183,1.0,1,6,3,42.303604,0
BT_316394980_22_F_PlayerNmber2.csv,2.0183,1.0,1,6,3,42.303604,1
BT_316394980_22_F_PlayerNmber2.csv,2.0183,0.0,1,6,3,42.303604,1
BT_316394980_22_F_PlayerNmber2.csv,3.544,1.0,2,11,3,42.303604,1
BT_316394980_22_F_PlayerNmber2.csv,3.544,0.0,2,11,3,42.303604,1
BT_316394980_22_F_PlayerNmber2.csv,3.544,0.0,2,11,3,42.303604,1
BT_316394980_22_F_PlayerNmber2.csv,2.9756,1.0,1,9,4,42.303604,1
BT_316394980_22_F_PlayerNmber2.csv,2.9756,1.0,1,9,4,42.303604,1
BT_316394980_22_F_PlayerNmber2.csv,2.9756,1.0,1,9,4,42.303604,0
BT_316394980_22_F_PlayerNmber2.csv,2.9756,0.0,1,9,4,42.303604,1
BT_316394980_22_F_PlayerNmber2.csv,2.4123,1.0,2,13,6,42.303604,0
